"X0","Incidence_Rate","Lab_Confirm_Incidence_rate","X_SD_D_x100","CFR","ID","Country_or_Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological_Week","Number_of_Records","Population_x_1000","Serotype","Severe_Dengue","Total_of_Dengue_Cases","Type","Year","Week_Cases_Dengue","Week_Range"
0,"17.39",6.52,0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,41,28,6,"28",1,92,"DEN",0,16,"Preliminar",2015
0,"2.32",0.26,0,0,6,"Bahamas","Bahamas",0,41,44,1,"30",1,388,"DEN",0,9,"Preliminar",2015
0,"33.33",5.5,0,0,6,"Barbados","Barbados",0,41,52,16,"32",1,291,"DEN 1",0,97,"Preliminar",2015
0,"80.46",31.61,0,0,2,"Belize","Belice",0,41,84,110,"32",1,348,"DEN 2",0,280,"Preliminar",2015
0,"312.12",312.12,0.970873786,0,6,"Virgin Islands (UK)","Islas Vírgenes (RU)",0,41,92,103,"40",1,33,"DEN",1,103,"Preliminar",2015
0,"",NA,NA,NA,1,"Canada","Canadá",0,41,124,0,"41",1,0,"  ",0,0,"Preliminar",2015
0,"166.85",0,0.071890726,0,2,"Costa Rica","Costa Rica",0,41,188,0,"41",1,5002,"DEN 1,2,3",6,8346,"Final",2015
0,"33.78",2.7,0,0,6,"Dominica","Dominica",0,41,212,2,"24",1,74,"DEN",0,25,"Preliminar",2015
0,"587.94",133.01,0.82051825,0.005,2,"El Salvador","El Salvador",2,41,222,8547,"41",1,6426,"DEN 1,2,3",310,37781,"Preliminar",2015
0,"9.91",9.91,0,0,6,"Grenada","Granada",0,41,308,11,"32",1,111,"DEN",0,11,"Preliminar",2015
0,"88.96",4.96,0.172890733,0.062,2,"Guatemala","Guatemala",9,41,320,806,"41",1,16255,"DEN 1,2,3,4",25,14460,"Preliminar",2015
0,"17.57",17.57,0,0,6,"Guyana","Guyana",0,41,328,142,"24",1,808,"DEN",0,142,"Preliminar",2015
0,"0.53",0,0,0,6,"Haiti","Haití",0,41,332,0,"22",1,10604,"DEN 1,2,3,4",0,56,"Preliminar",2015
0,"469.12",0,2.128090286,0,2,"Honduras","Honduras",0,41,340,0,"41",1,8424,"DEN",841,39519,"Preliminar",2015
0,"1.85",0.18,0,0,6,"Jamaica","Jamaica",0,41,388,5,"39",1,2813,"DEN 4",0,52,"Preliminar",2015
0,"132.75",14.15,2.100989444,0.013,2,"Mexico","México",22,41,484,17724,"41",1,125236,"DEN 1,2,3,4",3493,166255,"Preliminar",2015
0,"0.00",0,NA,NA,6,"Montserrat","Montserrat",0,41,500,0,"32",1,5,"  ",0,0,"Preliminar",2015
0,"",NA,NA,NA,6,"Aruba","Aruba",NA,41,533,NA,"-",1,112,"  ",NA,NA,"Preliminar",2015
0,"486.67",26.58,0.022987751,0.023,2,"Nicaragua","Nicaragua",7,41,558,1663,"40",1,6257,"DEN 2,3",7,30451,"Preliminar",2015
0,"48.47",40.95,0.155199172,0.052,2,"Panama","Panamá",1,41,591,1633,"41",1,3988,"DEN 1,2,3",3,1933,"Preliminar",2015
0,"41.49",0.9,0,0,5,"Puerto Rico","Puerto Rico",0,41,630,33,"41",1,3680,"DEN 1,2,3,4",0,1527,"Preliminar",2015
0,"88.89",88.89,0,0,6,"Saint Barthelemy","San Bartolomé",0,41,652,8,"37",1,9,"DEN",0,8,"Preliminar",2015
0,"9.62",1.92,0,0,6,"Saint Kitts and Nevis","Saint Kitts y Nevis",0,41,659,1,"24",1,52,"DEN",0,5,"Preliminar",2015
0,"50.00",12.5,0,0,6,"Anguilla","Anguila",0,41,660,2,"28",1,16,"DEN",0,8,"Preliminar",2015
0,"7.93",5.49,0,0,6,"Saint Lucia","Santa Lucía",0,41,662,9,"32",1,164,"DEN 1",0,13,"Preliminar",2015
0,"0.97",0.97,0,0,6,"Saint Vincent and the Grenadines","San Vicente y las Granadinas",0,41,670,1,"28",1,103,"DEN",0,1,"Preliminar",2015
0,"0.36",0.36,0,0,6,"Suriname","Suriname",0,41,740,2,"21",1,548,"DEN",0,2,"Preliminar",2015
0,"2.08",0.07,0,0,6,"Trinidad and Tobago","Trinidad y Tobago",0,41,780,1,"4",1,1347,"DEN 1",0,28,"Preliminar",2015
0,"192.00",192,0,0,6,"Turks and Caicos Islands","Islas Turcas y Caicos",0,41,796,96,"24",1,50,"DEN",0,96,"Preliminar",2015
